name,kitchen,webpage,hidden,music_type,type,address
Di Valli,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Оборище 23"
Didy’s сладко и солено,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Дякон Игнатий №4"
Die Alte Lampe,Няма,Начало / Заведения / Бирарии,FALSE,Няма,Ресторанти,"София ул. Котел 2, до Южен парк"
Diip Bar,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Клубове и барове,"София ул. Леге 15А"
DIRTY Sofia,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Г. С. Раковски 113"
District Warehouse,Няма,Начало / Музика / Концертни зали,FALSE,Няма,"Галерии, музеи, зали","София ул. Веслец 84"
DJ SHOP,Няма,Няма,TRUE,Няма,В движение,"София ул. Шишман 24, (в магазин Boardshop)"
Domino`s Pizza 1,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ул. Ген. Стефан Тошев 8"
Domino`s Pizza 2,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ул. Бяла Черква 1"
Don Vito 1,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ж.к. Младост 1, до бл. 31"
Don Vito 2,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ул. Гео Милев 37А"
Don Vito 3,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София бул. Цар Борис III 80"
Don Vito 4,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ул. Цар Иван Асен II 38"
Don Vito 5,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София бул. Александър Пушкин 34"
Don Vito 6,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София кв. Красна Поляна, бл.329"
Don Vito 7,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София бул. Цар Борис III 103"
Don Vito IX,Няма,Начало / Заведения / Пицарии,TRUE,Няма,Ресторанти,"София ж.к. Младост 1, бул. Ал. Малинов 37"
Don Vito VI,Няма,Начало / Заведения / Пицарии,TRUE,Няма,Ресторанти,"София кв. Борово, бул. Солун 43"
Don Vito VIII,Няма,Начало / Заведения / Пицарии,TRUE,Няма,Ресторанти,"София ул. Уилям Гладстон 32"
Downtown,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Васил Левски 27"
Dream House,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Алабин 50А"
"Du sygne, Япония",Няма,Начало / Сцена / Театри,TRUE,Няма,Театри,
Duke Club,Няма,Начало / Заведения / Kлубове,FALSE,",",Клубове и барове,"София Борисова градина, вход от ул. Драган Цанков"
Dunkin Donuts 1,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София бул. Арсеналски 2, City Center Sofia, ет.3"
Dunkin' Donuts 2,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София бул. Патриарх Евтимий 2А"
Dunkin' Donuts 3,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София бул. Шипченски проход 7"
Dunkin' Donuts 4,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София Бизнес парк София, кино Арена Младост, ет. 2"
Dunkin' Donuts I,Няма,Начало / Заведения / Сладкарници,TRUE,Няма,Ресторанти,"София бул. Витоша 25"
E-Motion Club,Няма,"Начало / Заведения / Kлубове Начало / Заведения / Bar & Play",FALSE,Няма,Клубове и барове,"София бул. Йерусалим 1"
"Egglakecity Jimmy's, Panini & Golden eggs",Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ж.к. Младост 4, Бизнес парк София, сграда 10"
Ego,Няма,"Начало / Заведения / Kлубове Начало / Заведения / Ресторанти",TRUE,Няма,Клубове и барове,"София бул. Цар Oсвободител 12"
"Egur, Egur",Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Три уши 8"
Elate Plaza Bar & Diner,"вегетарианска, европейска, интернационална, българска,",Начало / Заведения / Bar & Diner,FALSE,"поп, chillout,",Ресторанти,"София ж.к. Младост 1, на ъгъла на бул. Ал. Малинов и бул. Сахаров, зад бл.67"
Elidis,"европейска,",Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София бул. Скобелев 62"
Ellinor's House,Няма,"Начало / Слово / Други места Начало / Изложби / Галерии",FALSE,Няма,"Галерии, музеи, зали","София ул. Цар Асен 33"
erte,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали",
Escada,Няма,Начало / Заведения / Пицарии,FALSE,Няма,Ресторанти,"София ъгъла на бул. Витоша и бул. П. Евтимий"
Essence,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София бул. Александът Стамболийски 29"
Essence Center,Няма,Начало / Слово / Други места,FALSE,Няма,"Галерии, музеи, зали","София ул. 6-ти септември 37"
Este,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Николай Хайтов 3А"
Esterhasi Bar,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Цар Освободител 21"
Euro Cinema,Няма,Начало / Кино / Kино салони,FALSE,Няма,Кина,"София бул. Александър Стамболийски 17"
Evdokia Art Glass,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София ул. Г. С. Раковски 120"
